,  1-1-1 ,   0.0429949015551 ,   520.1
0,  1-1-1 ,   0.339512622528 ,   14.0
1,  1-1-1 ,   0.339628185057 ,   113.456
2,  1-1-1 ,   0.339625354672 ,   130.0
3,  1-1-1 ,   0.339730731716 ,   127.0
4,  0-0 ,   0.251503353301 ,   108.277153969
5,  0-0 ,   0.0183367709643 ,   143.681498051
6,  3-3-1 ,   0.299600228151 ,   522.72
7,  1-2-2 ,   0.266821030626 ,   602.128
8,  1-2-2 ,   0.282093422877 ,   602.0
9,  1-1-1 ,   0.33942879504 ,   26.9904658794
10,  1-1-1 ,   0.343008275308 ,   602.009440899
11,  1-1-1 ,   0.051797492501 ,   273.104115009
12,  1-1-1 ,   0.0474260467418 ,   266.670280933
13,  3-3-1 ,   0.273946610532 ,   123.956
14,  3-3-1 ,   0.162393903648 ,   456.996
15,  3-3-2 ,   0.117216503347 ,   554.028
16,  4-1-1 ,   0.244936398141 ,   602.012
17,  4-1-2 ,   0.177918252149 ,   602.0
18,  6-1-1 ,   0.169448666589 ,   602.0
19,  6-2-1 ,   0.221889952855 ,   602.08
