Task name: 1-1-3 | Scene mean score: 0.0695329394504 | Time cost: 261.252
Task name: 1-2-1 | Scene mean score: 0.370330669724 | Time cost: 602.048
Task name: 1-2-2 | Scene mean score: 0.480639505549 | Time cost: 602.048
Task name: 1-4-1 | Scene mean score: 0.171587931787 | Time cost: 602.2
Task name: 1-4-2 | Scene mean score: 0.238979326235 | Time cost: 602.108
Task name: 1-5-2 | Scene mean score: 0.0653366884446 | Time cost: 281.956
Task name: 1-5-3 | Scene mean score: 0.0953558966366 | Time cost: 371.884
Task name: 2-1-1 | Scene mean score: 0.30987804833 | Time cost: 602.028
Task name: 2-2-1 | Scene mean score: 0.279316434549 | Time cost: 602.0
Task name: 2-2-2 | Scene mean score: 0.290281809059 | Time cost: 602.04
Task name: 3-1-1 | Scene mean score: 0.24826955857 | Time cost: 602.048
Task name: 3-2-2 | Scene mean score: 0.145077385632 | Time cost: 602.112
Task name: 3-3-1 | Scene mean score: 0.318690046875 | Time cost: 514.472
Task name: 4-1-1 | Scene mean score: 0.190780982474 | Time cost: 10.652
Task name: 4-1-2 | Scene mean score: 0.175749349539 | Time cost: 10.752
Task name: 4-2-2 | Scene mean score: 0.31688457322 | Time cost: 10.56
Task name: 4-2-3 | Scene mean score: 0.275528507584 | Time cost: 10.72
Task name: 4-3-2 | Scene mean score: 0.267653619543 | Time cost: 10.684
Task name: 4-3-3 | Scene mean score: 0.268172981609 | Time cost: 10.656
Task name: 4-3-4 | Scene mean score: 0.268170097794 | Time cost: 10.688
Task name: 5-1-1 | Scene mean score: 0.281903686793 | Time cost: 10.656
Task name: 5-1-3 | Scene mean score: 0.277431715354 | Time cost: 10.72
Task name: 4-1-1 | Scene mean score: 0.210364989769 | Time cost: 602.04
Task name: 4-1-2 | Scene mean score: 0.244930351047 | Time cost: 602.064
Task name: 4-2-2 | Scene mean score: 0.326151369441 | Time cost: 602.024
Task name: 4-2-3 | Scene mean score: 0.285848411696 | Time cost: 602.0
Task name: 4-3-2 | Scene mean score: 0.254156793603 | Time cost: 602.032
Task name: 4-3-3 | Scene mean score: 0.139852845554 | Time cost: 602.12
Task name: 4-3-4 | Scene mean score: 0.391350758948 | Time cost: 602.184
Task name: 5-1-1 | Scene mean score: 0.599706791387 | Time cost: 602.0
Task name: 5-1-3 | Scene mean score: 0.398666572474 | Time cost: 414.276
Task name: 5-2-1 | Scene mean score: 0.218071117833 | Time cost: 602.1
Task name: 5-3-1 | Scene mean score: 0.292138461237 | Time cost: 602.048
Task name: 5-3-3 | Scene mean score: 0.396964180884 | Time cost: 602.024
Task name: 6-1-1 | Scene mean score: 0.13993883534 | Time cost: 602.0
Task name: 6-2-1 | Scene mean score: 0.287485835291 | Time cost: 404.204
Task name: 6-2-3 | Scene mean score: 0.434129960841 | Time cost: 90.86
Task name: 6-3-1 | Scene mean score: 0.361832789934 | Time cost: 602.0
Task name: 6-3-2 | Scene mean score: 0.398914071848 | Time cost: 602.0
Task name: 1-1-1 | Scene mean score: 0.0465522705341 | Time cost: 259.26
Task name: 1-1-2 | Scene mean score: 0.33975044914 | Time cost: 160.852
Task name: 1-1-2 | Scene mean score: 0.339715141335 | Time cost: 169.624
Task name: 2-1-1 | Scene mean score: 0.177752182293 | Time cost: 602.0
