Task name: 1-5-2 | Scene mean score: 0.169935120484 | Time cost: 602.008872032
Task name: 1-5-3 | Scene mean score: 0.193525616202 | Time cost: 602.012639999
Task name: 2-1-1 | Scene mean score: 0.353948913368 | Time cost: 602.006648064
Task name: 2-2-1 | Scene mean score: 0.240513629168 | Time cost: 602.010897875
Task name: 2-2-2 | Scene mean score: 0.488466915808 | Time cost: 602.012865067
Task name: 2-2-2 | Scene mean score: 0.225305179609 | Time cost: 602.007345915
Task name: 3-1-1 | Scene mean score: 0.18903808851 | Time cost: 602.009202957
Task name: 3-2-2 | Scene mean score: 0.39876253833 | Time cost: 602.006654024
Task name: 3-3-1 | Scene mean score: 0.455977818026 | Time cost: 602.009871006
Task name: 4-1-1 | Scene mean score: 0.210681934221 | Time cost: 602.006108999
Task name: 4-1-2 | Scene mean score: 0.154014800619 | Time cost: 602.007962942
Task name: 4-2-2 | Scene mean score: 0.327513625898 | Time cost: 602.008100986
Task name: 4-2-3 | Scene mean score: 0.300091525233 | Time cost: 602.008749008
Task name: 4-3-2 | Scene mean score: 0.460135362851 | Time cost: 602.012934208
Task name: 4-3-3 | Scene mean score: 0.344076267189 | Time cost: 602.008754969
Task name: 4-3-4 | Scene mean score: 0.468185066292 | Time cost: 602.009732962
Task name: 5-1-1 | Scene mean score: 0.506160533644 | Time cost: 602.009863138
Task name: 5-1-3 | Scene mean score: 0.50209410708 | Time cost: 602.007729053
Task name: 5-2-1 | Scene mean score: 0.286722406095 | Time cost: 602.010833979
Task name: 5-3-1 | Scene mean score: 0.322106622012 | Time cost: 602.008662939
Task name: 5-3-3 | Scene mean score: 0.446492881828 | Time cost: 602.007376909
Task name: 6-1-1 | Scene mean score: 0.206675304709 | Time cost: 602.009900093
Task name: 6-2-1 | Scene mean score: 0.334967096371 | Time cost: 602.011072159
Task name: 6-2-3 | Scene mean score: 0.341192548297 | Time cost: 602.007176161
Task name: 6-3-1 | Scene mean score: 0.292637947791 | Time cost: 602.007599115
Task name: 6-3-2 | Scene mean score: 0.647456853705 | Time cost: 602.007907867
